wavelength_m,flux_arb
5.09E-07,3.44334E+13
5.11E-07,3.4329E+13
5.12E-07,3.42244E+13
5.13E-07,3.41197E+13
5.15E-07,3.40149E+13
5.16E-07,3.391E+13
5.18E-07,3.3805E+13
5.19E-07,3.37E+13
5.21E-07,3.35949E+13
5.22E-07,3.34898E+13
5.24E-07,3.33846E+13
5.25E-07,3.32794E+13
5.27E-07,3.31742E+13
5.28E-07,3.3069E+13
5.29E-07,3.29638E+13
5.31E-07,3.28585E+13
5.32E-07,3.27533E+13
5.34E-07,3.26481E+13
5.35E-07,3.25429E+13
5.37E-07,3.24378E+13
5.38E-07,3.23327E+13
5.40E-07,3.22277E+13
5.41E-07,3.21227E+13
5.42E-07,3.20178E+13
5.44E-07,3.19129E+13
5.45E-07,3.18081E+13
5.47E-07,3.17034E+13
5.48E-07,3.15988E+13
5.50E-07,3.14943E+13
5.51E-07,3.13898E+13
5.53E-07,3.12855E+13
5.54E-07,3.11813E+13
5.56E-07,3.10772E+13
5.57E-07,3.09733E+13
5.58E-07,3.08694E+13
5.60E-07,3.07657E+13
5.61E-07,3.06621E+13
5.63E-07,3.05587E+13
5.64E-07,3.04554E+13
5.66E-07,3.03523E+13
5.67E-07,3.02493E+13
5.69E-07,3.01465E+13
5.70E-07,3.00438E+13
5.71E-07,2.99414E+13
5.73E-07,2.98391E+13
5.74E-07,2.97369E+13
5.76E-07,2.9635E+13
5.77E-07,2.95332E+13
5.79E-07,2.94316E+13
5.80E-07,2.93302E+13
5.82E-07,2.9229E+13
5.83E-07,2.9128E+13
5.85E-07,2.90272E+13
5.86E-07,2.89266E+13
5.87E-07,2.88262E+13
5.89E-07,2.87261E+13
5.90E-07,2.86261E+13
5.92E-07,2.85263E+13
5.93E-07,2.84268E+13
5.95E-07,2.83275E+13
5.96E-07,2.82284E+13
5.98E-07,2.81296E+13
5.99E-07,2.8031E+13
6.01E-07,2.79326E+13
6.02E-07,2.78344E+13
6.03E-07,2.77365E+13
6.05E-07,2.76388E+13
6.06E-07,2.75414E+13
6.08E-07,2.74442E+13
6.09E-07,2.73472E+13
6.11E-07,2.72505E+13
6.12E-07,2.71541E+13
6.14E-07,2.70579E+13
6.15E-07,2.69619E+13
6.16E-07,2.68662E+13
6.18E-07,2.67708E+13
6.19E-07,2.66756E+13
6.21E-07,2.65806E+13
6.22E-07,2.6486E+13
6.24E-07,2.63916E+13
6.25E-07,2.62974E+13
6.27E-07,2.62035E+13
6.28E-07,2.61099E+13
6.30E-07,2.60166E+13
6.31E-07,2.59235E+13
6.32E-07,2.58307E+13
6.34E-07,2.57381E+13
6.35E-07,2.56459E+13
6.37E-07,2.55539E+13
6.38E-07,2.54621E+13
6.40E-07,2.53707E+13
6.41E-07,2.52795E+13
6.43E-07,2.51886E+13
6.44E-07,2.5098E+13
6.45E-07,2.50076E+13
6.47E-07,2.49176E+13
6.48E-07,2.48278E+13
6.50E-07,2.47382E+13
6.51E-07,2.4649E+13
6.53E-07,2.456E+13
6.54E-07,2.44714E+13
6.56E-07,2.4383E+13
6.57E-07,2.42949E+13
6.59E-07,2.4207E+13
6.60E-07,2.41195E+13
6.61E-07,2.40322E+13
6.63E-07,2.39452E+13
6.64E-07,2.38585E+13
6.66E-07,2.37721E+13
6.67E-07,2.3686E+13
6.69E-07,2.36001E+13
6.70E-07,2.35145E+13
6.72E-07,2.34293E+13
6.73E-07,2.33443E+13
6.74E-07,2.32595E+13
6.76E-07,2.31751E+13
6.77E-07,2.3091E+13
6.79E-07,2.30071E+13
6.80E-07,2.29235E+13
6.82E-07,2.28402E+13
6.83E-07,2.27572E+13
6.85E-07,2.26745E+13
6.86E-07,2.25921E+13
6.88E-07,2.25099E+13
6.89E-07,2.2428E+13
6.90E-07,2.23464E+13
6.92E-07,2.22651E+13
6.93E-07,2.21841E+13
6.95E-07,2.21034E+13
6.96E-07,2.20229E+13
6.98E-07,2.19427E+13
6.99E-07,2.18629E+13
7.01E-07,2.17833E+13
7.02E-07,2.17039E+13
7.04E-07,2.16249E+13
7.05E-07,2.15461E+13
7.06E-07,2.14676E+13
7.08E-07,2.13894E+13
7.09E-07,2.13115E+13
7.11E-07,2.12339E+13
7.12E-07,2.11565E+13
7.14E-07,2.10794E+13
7.15E-07,2.10026E+13
